Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
28-03-2023,Lemon (Lime),55,66,78,1kg
28-03-2023,Mango Raw,86,104,122,1kg
28-03-2023,Mint Leaves,5,6,7,1kg
28-03-2023,Mushroom,84,102,120,1kg
28-03-2023,Mustard Leaves,14,17,20,1kg
28-03-2023,Ladies Finger,47,57,67,1kg
28-03-2023,Pumpkin,20,24,28,1kg
28-03-2023,Radish,26,31,37,1kg
28-03-2023,Ridge Gourd,31,37,44,1kg
28-03-2023,Shallot (Pearl Onion),32,39,45,1kg
28-03-2023,Snake Gourd,28,34,40,1kg
28-03-2023,Sorrel Leaves,12,14,17,1kg
28-03-2023,Spinach,12,14,17,1kg
28-03-2023,Sweet Potato,39,47,55,1kg
27-03-2023,Onion Big,22,26,31,1kg
27-03-2023,Onion Small,56,67,79,1kg
27-03-2023,Tomato,23,27,33,1kg
27-03-2023,Green Chilli,45,54,64,1kg
27-03-2023,Beetroot,30,36,43,1kg
27-03-2023,Potato,31,37,44,1kg
27-03-2023,Raw Banana (Plantain),9,10,13,1kg
27-03-2023,Amaranth Leaves,13,16,18,1kg
27-03-2023,Amla,70,85,100,1kg
27-03-2023,Ash gourd,21,25,30,1kg
27-03-2023,Baby Corn,59,71,84,1kg
27-03-2023,Banana Flower,14,17,20,1kg
27-03-2023,Capsicum,45,54,64,1kg
27-03-2023,Bitter Gourd,33,40,47,1kg
27-03-2023,Bottle Gourd,27,32,38,1kg
27-03-2023,Butter Beans,47,57,67,1kg
27-03-2023,Broad Beans,38,46,54,1kg
27-03-2023,Cabbage,11,13,15,1kg
27-03-2023,Carrot,29,35,41,1kg
27-03-2023,Cauliflower,25,30,35,1kg
27-03-2023,Cluster beans,44,53,63,1kg
27-03-2023,Coconut,28,34,40,1kg
27-03-2023,Colocasia Leaves,13,16,18,1kg
27-03-2023,Colocasia,27,32,38,1kg
27-03-2023,Coriander Leaves,6,7,8,1kg
27-03-2023,Corn,27,32,38,1kg
27-03-2023,Cucumber,29,35,41,1kg
27-03-2023,Curry Leaves,25,30,35,1kg
27-03-2023,Dill Leaves,14,17,20,1kg
27-03-2023,Drumsticks,100,121,142,1kg
27-03-2023,Brinjal,27,32,38,1kg
27-03-2023,Brinjal (Big),29,35,41,1kg
27-03-2023,Elephant Yam,29,35,41,1kg
27-03-2023,Fenugreek Leaves,11,13,15,1kg
27-03-2023,French Beans,42,50,59,1kg
27-03-2023,Garlic,52,63,74,1kg
27-03-2023,Ginger,50,61,71,1kg
27-03-2023,Onion Green,45,54,64,1kg
27-03-2023,Green Peas,83,100,118,1kg
27-03-2023,Ivy Gourd,27,32,38,1kg
27-03-2023,Lemon (Lime),55,66,78,1kg
27-03-2023,Mango Raw,86,104,122,1kg
27-03-2023,Mint Leaves,5,6,7,1kg
27-03-2023,Mushroom,84,102,120,1kg
27-03-2023,Mustard Leaves,14,17,20,1kg
27-03-2023,Ladies Finger,47,57,67,1kg
27-03-2023,Pumpkin,20,24,28,1kg
27-03-2023,Radish,26,31,37,1kg
27-03-2023,Ridge Gourd,31,37,44,1kg
27-03-2023,Shallot (Pearl Onion),32,39,45,1kg
27-03-2023,Snake Gourd,28,34,40,1kg
27-03-2023,Sorrel Leaves,12,14,17,1kg
27-03-2023,Spinach,12,14,17,1kg
27-03-2023,Sweet Potato,39,47,55,1kg
26-03-2023,Onion Big,22,26,31,1kg
26-03-2023,Onion Small,56,67,79,1kg
26-03-2023,Tomato,23,27,33,1kg
26-03-2023,Green Chilli,45,54,64,1kg
26-03-2023,Beetroot,30,36,43,1kg
26-03-2023,Potato,31,37,44,1kg
26-03-2023,Raw Banana (Plantain),9,10,13,1kg
26-03-2023,Amaranth Leaves,13,16,18,1kg
26-03-2023,Amla,70,85,100,1kg
26-03-2023,Ash gourd,21,25,30,1kg
26-03-2023,Baby Corn,59,71,84,1kg
26-03-2023,Banana Flower,14,17,20,1kg
26-03-2023,Capsicum,45,54,64,1kg
26-03-2023,Bitter Gourd,33,40,47,1kg
26-03-2023,Bottle Gourd,27,32,38,1kg
26-03-2023,Butter Beans,47,57,67,1kg
26-03-2023,Broad Beans,38,46,54,1kg
26-03-2023,Cabbage,11,13,15,1kg
26-03-2023,Carrot,29,35,41,1kg
26-03-2023,Cauliflower,25,30,35,1kg
26-03-2023,Cluster beans,44,53,63,1kg
26-03-2023,Coconut,28,34,40,1kg
26-03-2023,Colocasia Leaves,13,16,18,1kg
26-03-2023,Colocasia,27,32,38,1kg
26-03-2023,Coriander Leaves,6,7,8,1kg
26-03-2023,Corn,27,32,38,1kg
26-03-2023,Cucumber,29,35,41,1kg
26-03-2023,Curry Leaves,25,30,35,1kg
26-03-2023,Dill Leaves,14,17,20,1kg
26-03-2023,Drumsticks,100,121,142,1kg
26-03-2023,Brinjal,27,32,38,1kg
26-03-2023,Brinjal (Big),29,35,41,1kg
26-03-2023,Elephant Yam,29,35,41,1kg
26-03-2023,Fenugreek Leaves,11,13,15,1kg
26-03-2023,French Beans,42,50,59,1kg
26-03-2023,Garlic,52,63,74,1kg
26-03-2023,Ginger,50,61,71,1kg
26-03-2023,Onion Green,45,54,64,1kg
26-03-2023,Green Peas,83,100,118,1kg
26-03-2023,Ivy Gourd,27,32,38,1kg
26-03-2023,Lemon (Lime),55,66,78,1kg
26-03-2023,Mango Raw,86,104,122,1kg
26-03-2023,Mint Leaves,5,6,7,1kg
26-03-2023,Mushroom,84,102,120,1kg
26-03-2023,Mustard Leaves,14,17,20,1kg
26-03-2023,Ladies Finger,47,57,67,1kg
26-03-2023,Pumpkin,20,24,28,1kg
26-03-2023,Radish,26,31,37,1kg
26-03-2023,Ridge Gourd,31,37,44,1kg
26-03-2023,Shallot (Pearl Onion),32,39,45,1kg
26-03-2023,Snake Gourd,28,34,40,1kg
26-03-2023,Sorrel Leaves,12,14,17,1kg
26-03-2023,Spinach,12,14,17,1kg
26-03-2023,Sweet Potato,39,47,55,1kg
25-03-2023,Onion Big,20,24,28,1kg
25-03-2023,Onion Small,53,64,75,1kg
25-03-2023,Tomato,23,27,33,1kg
25-03-2023,Green Chilli,42,50,59,1kg
25-03-2023,Beetroot,24,29,34,1kg
25-03-2023,Potato,33,40,47,1kg
25-03-2023,Raw Banana (Plantain),10,12,14,1kg
25-03-2023,Amaranth Leaves,12,14,17,1kg
25-03-2023,Amla,60,72,85,1kg
25-03-2023,Ash gourd,24,29,34,1kg
25-03-2023,Baby Corn,64,77,91,1kg
25-03-2023,Banana Flower,18,22,26,1kg
25-03-2023,Capsicum,43,52,61,1kg
25-03-2023,Bitter Gourd,30,36,43,1kg
25-03-2023,Bottle Gourd,24,29,34,1kg
25-03-2023,Butter Beans,49,59,70,1kg
25-03-2023,Broad Beans,42,50,59,1kg
25-03-2023,Cabbage,14,17,20,1kg
25-03-2023,Carrot,30,36,43,1kg
25-03-2023,Cauliflower,27,32,38,1kg
25-03-2023,Cluster beans,44,53,63,1kg
25-03-2023,Coconut,30,36,43,1kg
25-03-2023,Colocasia Leaves,12,14,17,1kg
25-03-2023,Colocasia,27,32,38,1kg
25-03-2023,Coriander Leaves,6,7,8,1kg
25-03-2023,Corn,25,30,35,1kg
25-03-2023,Cucumber,28,34,40,1kg
25-03-2023,Curry Leaves,27,32,38,1kg
25-03-2023,Dill Leaves,13,16,18,1kg
25-03-2023,Drumsticks,100,121,142,1kg
25-03-2023,Brinjal,24,29,34,1kg
25-03-2023,Brinjal (Big),22,26,31,1kg
25-03-2023,Elephant Yam,24,29,34,1kg
25-03-2023,Fenugreek Leaves,10,12,14,1kg
25-03-2023,French Beans,40,48,57,1kg
25-03-2023,Garlic,60,72,85,1kg
25-03-2023,Ginger,47,57,67,1kg
25-03-2023,Onion Green,38,46,54,1kg
25-03-2023,Green Peas,76,92,108,1kg
25-03-2023,Ivy Gourd,24,29,34,1kg
25-03-2023,Lemon (Lime),50,61,71,1kg
25-03-2023,Mango Raw,101,122,144,1kg
25-03-2023,Mint Leaves,3,3,4,1kg
25-03-2023,Mushroom,87,105,124,1kg
25-03-2023,Mustard Leaves,12,14,17,1kg
25-03-2023,Ladies Finger,40,48,57,1kg
25-03-2023,Pumpkin,21,25,30,1kg
25-03-2023,Radish,23,27,33,1kg
25-03-2023,Ridge Gourd,30,36,43,1kg
25-03-2023,Shallot (Pearl Onion),36,43,51,1kg
25-03-2023,Snake Gourd,26,31,37,1kg
25-03-2023,Sorrel Leaves,14,17,20,1kg
25-03-2023,Spinach,12,14,17,1kg
25-03-2023,Sweet Potato,37,45,52,1kg
24-03-2023,Onion Big,20,24,28,1kg
24-03-2023,Onion Small,53,64,75,1kg
24-03-2023,Tomato,23,27,33,1kg
24-03-2023,Green Chilli,42,50,59,1kg
24-03-2023,Beetroot,24,29,34,1kg
24-03-2023,Potato,33,40,47,1kg
24-03-2023,Raw Banana (Plantain),10,12,14,1kg
24-03-2023,Amaranth Leaves,12,14,17,1kg
24-03-2023,Amla,60,72,85,1kg
24-03-2023,Ash gourd,24,29,34,1kg
24-03-2023,Baby Corn,64,77,91,1kg
24-03-2023,Banana Flower,18,22,26,1kg
24-03-2023,Capsicum,43,52,61,1kg
24-03-2023,Bitter Gourd,30,36,43,1kg
24-03-2023,Bottle Gourd,24,29,34,1kg
24-03-2023,Butter Beans,49,59,70,1kg
24-03-2023,Broad Beans,42,50,59,1kg
24-03-2023,Cabbage,14,17,20,1kg
24-03-2023,Carrot,30,36,43,1kg
24-03-2023,Cauliflower,27,32,38,1kg
24-03-2023,Cluster beans,44,53,63,1kg
24-03-2023,Coconut,30,36,43,1kg
24-03-2023,Colocasia Leaves,12,14,17,1kg
24-03-2023,Colocasia,27,32,38,1kg
24-03-2023,Coriander Leaves,6,7,8,1kg
24-03-2023,Corn,25,30,35,1kg
24-03-2023,Cucumber,28,34,40,1kg
24-03-2023,Curry Leaves,27,32,38,1kg
24-03-2023,Dill Leaves,13,16,18,1kg
24-03-2023,Drumsticks,100,121,142,1kg
24-03-2023,Brinjal,24,29,34,1kg
24-03-2023,Brinjal (Big),22,26,31,1kg
24-03-2023,Elephant Yam,24,29,34,1kg
24-03-2023,Fenugreek Leaves,10,12,14,1kg
